timestamp,total_memory,java_heap,native_heap,code,stack,graphics
1709830522,1186726,110532,591020,87940,2688,375380
1709830554,1192966,110940,591472,87940,2688,380760
1709830586,1200354,115936,593884,87936,2664,380760
1709830619,1208766,111744,591760,87936,2664,395488
1709830651,1197345,112236,593032,87932,2664,382308
1709830683,1207893,113704,597088,87932,2664,387336
1709830715,1222297,113464,596884,87932,2664,402184
1709830747,1209237,113680,596788,87932,2664,389000
1709830780,1203241,111448,593260,87932,2688,388740
1709830812,1204385,112192,594988,87932,2688,387448
1709830844,1202837,112016,595028,87932,2688,386036
1709830876,1223449,112056,596680,87932,2664,404988
1709830908,1205509,112760,596464,87932,2664,386560
1709830941,1206961,113240,596928,87932,2664,387068
1709830973,1209685,113208,597248,87932,2664,389504
1709831005,1213981,113256,599276,87932,2664,391724
1709831037,1216441,113064,599748,87932,2664,393904
1709831069,1216310,113280,599476,87888,2688,393864
1709831102,1234030,113252,600576,87888,2688,410512
1709831134,1219166,114484,600508,87888,2664,394508
1709831166,1220282,113924,600764,87888,2664,395920
1709831198,1221178,114568,600772,87880,2664,396176
1709831230,1221621,113888,601752,87788,2664,396432
1709831263,1238453,114240,601904,87788,2664,412716
1709831295,1222922,115180,602288,87732,2664,396300
1709831327,1225066,114656,604444,87732,2664,396812
1709831359,1230043,114804,607696,87732,2688,398504
1709831391,1231119,115152,608044,87732,2688,398884
1709831424,1247255,115504,609516,87732,2664,413220
1709831456,1233823,115964,609700,87732,2664,399144
1709831488,1240071,117224,611592,87732,2664,402240
1709831520,1240963,116468,611828,87732,2664,403652
1709831552,1241263,116136,611688,87736,2664,404420
1709831585,1240695,115912,611344,87736,2664,404420
1709831617,1243471,116020,613240,87732,2668,405188
1709831649,1249607,117456,616144,87732,2668,406984
1709831681,1252783,116408,616368,87732,2692,410960
1709831713,1253703,117052,617660,87732,2692,409936
1709831746,1254647,117352,617924,87732,2692,410316
1709831778,1262423,118340,621816,87732,2668,413240
1709831810,1215619,122060,615016,87732,2668,369516
1709831842,1212827,120588,614964,87732,2668,368244
1709831874,1219683,121836,618392,87732,2668,370424
1709831906,1218115,127600,614620,87732,2760,366752
1709831939,1197099,120792,604628,87732,2668,362640
1709831971,1203695,120892,608756,87732,2668,365012
1709832003,1202607,121052,609444,87732,2668,363080
1709832035,1201487,121000,608476,87732,2692,362956
1709832068,1210263,122948,611188,87732,2692,367068
1709832100,1211463,123980,611384,87732,2668,367068
1709832132,1198239,121880,609112,87732,2668,358208
1709832165,1194047,120112,606692,87732,2668,358208
1709832197,1195791,121128,607420,87732,2668,358208
1709832229,1199735,123280,609212,87732,2668,358208
1709832261,1199891,123528,609160,87732,2668,358208
1709832294,1196627,123236,610172,87732,2668,354224
1709832326,1195375,122684,609444,87732,2692,354224
1709832358,1207015,125104,610520,87732,2692,362320
1709832390,1201807,120976,607420,87732,2668,364368
1709832423,1202431,122400,608672,87732,2668,362320
1709832455,1202063,121956,607724,87732,2668,363344
1709832487,1198919,121416,607168,87732,2668,361296
1709832519,1205755,125692,609720,87732,2668,361300
1709832552,1207115,125076,609516,87732,2668,363480
1709832584,1203377,124212,608820,87736,2668,361300
1709832616,1200009,121924,607716,87736,2692,361300
1709832648,1204785,124016,610400,87732,2692,361300
1709832681,1205185,124196,610684,87732,2668,361260
1709832713,1204482,123308,610896,87728,2668,361284
1709832745,1202374,122404,609692,87728,2668,361284
1709832777,1202294,122424,609596,87728,2668,361284
1709832810,1206354,124312,611636,87728,2668,361412
1709832842,1206722,124564,611880,87728,2668,361284
1709832874,1204926,123220,611472,87728,2668,361284
1709832906,1207118,123412,611424,87728,2668,363332
1709832939,1209466,126128,613080,87728,2692,361284
1709832971,1210162,126132,613796,87728,2668,361284
1709833003,1211298,126080,612936,87728,2668,363332
1709833035,1210134,126012,613888,87728,2668,361284
1709833068,1206374,124236,611904,87728,2668,361284
1709833100,1205334,124480,611876,87728,2692,360004
1709833132,1207306,124248,612056,87728,2668,362052
1709833164,1205946,124588,612376,87744,2668,360004
1709833196,1207934,124864,614088,87744,2668,360004
1709833229,1207700,125524,613172,87744,2692,360004
1709833261,1214800,127544,616068,87744,2692,362184
1709833293,1210044,125820,613192,87744,2668,362052
1709833325,1208156,125668,613508,87744,2668,360004
1709833358,1207144,125380,612784,87744,2668,360004
1709833390,1211980,125748,613084,87744,2692,364104
1709833422,1213632,127652,614876,87744,2692,362056
1709833454,1215696,129504,614984,87744,2668,362184
1709833486,1213468,129032,616444,87164,2668,360000
1709833519,1212596,128304,616296,87164,2668,360004
1709833551,1211292,127644,615652,87164,2668,360004
1709833583,1214068,128180,615840,87164,2668,362056
1709833615,1211444,128036,615408,87164,2668,360004
1709833647,1211336,128192,615144,87164,2668,360004
1709833680,1211832,128436,615372,87164,2692,360004
1709833712,1216600,128472,616048,87164,2692,364104
1709833744,1211308,128180,615172,87164,2668,360004
1709833776,1217052,130036,616884,87164,2668,362180
1709833808,1214828,130348,616520,87168,2668,360004
1709833841,1212812,129104,615748,87168,2668,360004
1709833873,1213804,129608,616236,87164,2668,360004
1709833905,1218068,130816,617228,87176,2668,362056
1709833937,1212332,129068,615292,87176,2668,360004
1709833969,1213688,129716,615976,87176,2692,360004
1709834002,1214098,129720,615992,87668,2692,360004
1709834034,1212366,129104,614900,87668,2668,360004
1709834066,1216466,131012,617092,87668,2668,360004
1709834098,1212862,129468,615032,87668,2668,360004
1709834130,1216490,130728,617400,87668,2668,360004
1709834163,1219042,130880,617752,87668,2668,362052
1709834195,1220750,130728,617516,87668,2668,364104
1709834227,1221554,132884,618212,87668,2668,362052
1709834259,1221610,131332,617768,87668,2668,364104
1709834291,1220570,131808,618276,87668,2692,362056
1709834323,1217786,131844,617508,87668,2692,360004
1709834356,1222486,133776,620172,87668,2668,360132
1709834388,1222286,134028,619720,87668,2668,360132
1709834420,1218662,132484,617760,87668,2668,360004
1709834452,1219006,132440,618148,87668,2668,360004
1709834485,1220414,132652,619344,87668,2668,360004
1709834517,1219938,132984,618536,87668,2668,360004
1709834549,1224318,133920,619932,87668,2668,362052
1709834581,1224674,134300,619800,87668,2692,362180
1709834613,1223898,135128,620244,87668,2692,360132
1709834646,1219658,132892,618388,87668,2668,360004
1709834678,1222910,133360,619104,87668,2692,362052
1709834711,1219166,132548,618220,87668,2692,360004
1709834743,1222502,134152,619976,87668,2668,360004
1709834775,1222630,133248,618968,87668,2668,362044
1709834808,1225562,134700,620436,87668,2668,362056
1709834840,1224866,135432,621056,87668,2668,360004
1709834872,1225302,135376,621520,87672,2692,360004
1709834905,1222230,133988,619708,87672,2692,360132
1709834937,1222154,133588,620188,87672,2668,360004
1709834969,1222466,134108,619852,87672,2668,360132
1709835002,1225902,135264,622060,87672,2692,360132
1709835034,1229058,135932,622488,87676,2692,362184
1709835066,1224911,135072,621404,87676,2668,360004
1709835099,1223559,134384,620744,87676,2668,360004
1709835131,1223143,134168,620544,87676,2668,360004
1709835163,1228671,136112,624120,87676,2668,360004
1709835196,1226599,134036,622076,87676,2668,362052
1709835228,1226515,135088,622992,87676,2668,360004
1709835261,1225743,134316,622988,87676,2668,360004
1709835293,1227379,135252,623668,87676,2692,360004
1709835325,1227931,135740,623728,87676,2692,360004
1709835358,1227507,135396,623672,87676,2668,360004
1709835390,1227475,135060,623976,87676,2668,360004
1709835423,1231995,137232,626620,87292,2668,360132
1709835455,1238187,140144,625784,87292,2668,364244
1709835487,1233627,136784,624584,87292,2668,364244
1709835520,1233035,137016,615448,86428,2668,364212
1709835553,1234959,138000,616356,86428,2668,364220
1709835585,1236471,138856,617008,86428,2668,364220
1709835617,1234923,138100,616192,86428,2692,364220
1709835650,1228583,136964,615232,86428,2692,359980
1709835682,1233055,138100,616536,86428,2668,362036
1709835714,1231263,137608,617268,86444,2668,359988
1709835747,1232103,138088,617620,86444,2668,359996
1709835779,1241099,139872,620716,86444,2668,364108
1709835812,1238387,139088,618788,86444,2668,364108
1709835844,1232451,137768,617776,86444,2668,360508
1709835876,1234827,138880,619040,86444,2668,360508
1709835909,1237483,140428,620112,86444,2692,360508
1709835941,1234311,138752,618616,86444,2692,360508
1709835974,1234339,138684,618740,86444,2668,360508
1709836006,1239455,139848,620636,86444,2668,362560
1709836038,1237635,140196,620520,86444,2668,360508
1709836071,1241061,140184,621796,86444,2668,362684
1709836103,1235629,139108,619616,86444,2668,360508
1709836136,1238897,139560,620384,86448,2668,362556
1709836168,1237357,139760,620664,86448,2692,360508
1709836200,1244409,141312,622056,86452,2692,364604
1709836233,1239265,140572,621744,86452,2692,360508
1709836265,1249289,142872,625004,86448,2668,365004
1709836298,1246901,140944,624548,86448,2668,365004
1709836330,1247413,141088,625040,86448,2668,364876
1709836363,1244913,140544,622828,86448,2668,365132
1709836395,1240301,140036,621768,86448,2668,362044
1709836427,1240553,139744,622288,86448,2692,362044
1709836460,1242193,140552,623124,86468,2668,362044
1709836492,1242685,140788,623356,86468,2692,362044
1709836525,1243889,141272,624100,86468,2668,362044
1709836557,1242034,140584,600516,86144,2668,362288
1709836590,1242490,140700,600848,86144,2668,362292
1709836622,1247125,142880,602928,85940,2668,362288
1709836654,1251085,144572,605192,85940,2668,362288
1709836687,1248101,143100,603544,85940,2668,362420
1709836719,1248877,143280,604248,85940,2692,362292
1709836752,1254137,143180,605496,85940,2692,366408
1709836784,1253297,142828,605008,85940,2692,366408
1709836816,1264825,144640,608428,85940,2692,372696
1709836849,1259485,142472,603352,85940,2668,374624
1709836881,1250380,141556,603392,85940,2668,366400
1709836914,1248080,142708,604032,85940,2668,362304
1709836946,1250940,141584,603920,85940,2668,366400
1709836979,1250432,142024,606292,85940,2668,363080
1709837011,1266820,143576,610688,85952,2692,373484
1709837044,1260676,141980,608320,85952,2692,371304
1709837076,1261958,141808,609276,86472,2668,371308
1709837108,1262994,142616,609376,86472,2668,371436
1709837141,1257822,142260,608800,86472,2668,367196
1709837173,1262698,142588,609136,86472,2668,371424
1709837206,1258590,142240,609468,86472,2668,367332
1709837238,1261854,141724,609152,86472,2668,371428
1709837271,1280458,142596,612496,86472,2668,385816
1709837303,1285322,144840,617140,86472,2692,383768
1709837335,1282505,143944,615272,86424,2692,383772
1709837368,1277277,143616,614640,86424,2668,379532
1709837400,1284093,144396,616424,86424,2668,383776
1709837433,1274466,144296,607176,85052,2668,379796
1709837465,1250274,142204,601268,85052,2668,363604
1709837498,1250798,141068,601908,85052,2668,364628
1709837530,1253306,142096,602620,85052,2668,365396
1709837563,1253126,142424,602112,85052,2668,365396
1709837595,1257050,142432,601932,85052,2668,369492
1709837628,1257186,142508,601968,85052,2692,369492
1709837660,1255030,143488,602564,85052,2668,365780
1709837692,1253494,142544,602100,85052,2668,365652
1709837725,1254722,143044,602832,85052,2668,365652
1709837757,1255122,143552,602720,85052,2668,365652
1709837790,1256050,143476,603596,85052,2668,365780
1709837822,1257996,143700,605312,85052,2668,365780
1709837855,1253960,141792,603324,85052,2668,365636
1709837887,1266297,144148,612288,85376,2692,366328
1709837920,1189337,150720,611976,85472,2692,283036
1709837952,1185861,156532,616660,85496,2668,269056
1709837984,1189489,153820,618932,85524,2668,273160
1709838017,1187853,154800,620448,85524,2668,269056
1709838049,1193245,155668,622956,85524,2668,271108
1709838082,1183049,153500,617012,85524,2668,269064
1709838114,1176570,156560,614548,72804,2668,273160
1709838147,1171930,153292,612748,72032,2668,273152
